url,label,source
https://www.1077thebone.com,1,1
https://www.1077thebone.com/,0,2
https://www.12manage.com,1,1
https://www.12manage.com/,0,2
https://www.1947project.com,1,1
https://www.1947project.com/,0,2
http://www.1x.com,0,1
https://www.1x.com,1,1
https://www.20minutes.fr,1,1
https://www.20minutes.fr,0,2
https://www.24wrestling.com,1,1
https://www.24wrestling.com/,0,2
https://3rdstreetmarket.com/wp-content/themes/3rdst/8-login-form/,0,1
https://3rdstreetmarket.com/wp-content/themes/3rdst/8-login-form/,1,2
https://www.4shared.com,1,1
https://www.4shared.com,0,2
http://4shared.com,1,2
https://www.810whb.com,1,1
https://www.810whb.com/,0,2
http://www.97b1c56132dfcdd90f93-0c5c8388c0a5897e648f883e2c86dc72.r54.cf5.rackcdn.com,0,1
http://97b1c56132dfcdd90f93-0c5c8388c0a5897e648f883e2c86dc72.r54.cf5.rackcdn.com/,1,2
https://www.abc-clio.com,1,1
https://www.abc-clio.com/,0,2
https://www.abola.pt,1,1
https://www.abola.pt,0,2
https://www.accesskent.com,1,1
https://www.accesskent.com/,0,2
https://www.accuweather.com,1,1
https://www.accuweather.com,0,2
https://www.acgsi.org,1,1
https://www.acgsi.org/,0,2
https://www.achristmasstoryhouse.com,1,1
https://www.achristmasstoryhouse.com/,0,2
https://www.acm.org,1,1
https://www.acm.org/,0,2
https://www.acs.org,1,1
https://www.acs.org,0,2
https://www.actorprepares.net,1,1
https://www.actorprepares.net/,0,2
https://www.actransit.org,1,1
https://www.actransit.org/,0,2
http://www.ad.getfond.info,0,1
http://ad.getfond.info,1,2
https://www.ada.gov,1,1
https://www.ada.gov/,0,2
https://www.addthis.com,1,1
https://www.addthis.com,0,2
https://www.adeccousa.com,1,1
https://www.adeccousa.com/,0,2
http://www.adgf.am,0,1
https://www.adgf.am,1,1
http://www.adhostingcache.com,0,1
http://adhostingcache.com/,1,2
http://www.adlinkmetric.com,0,1
http://adlinkmetric.com/,1,2
http://www.adlinkmetrics.com,0,1
http://adlinkmetrics.com/,1,2
https://www.admirals.org.uk,1,1
https://www.admirals.org.uk/,0,2
https://www.adobe.com,1,1
https://www.adobe.com,0,2
http://www.adobereaderupdater.com,0,1
http://adobereaderupdater.com/,1,2
https://www.adp.com,1,1
https://www.adp.com,0,2
https://www.adultfilmdatabase.com,1,1
https://www.adultfilmdatabase.com/,0,2
https://www.advocatehealth.com,1,1
https://www.advocatehealth.com/,0,2
https://www.aep.com,1,1
https://www.aep.com/,0,2
https://www.aepi.org,1,1
https://www.aepi.org/,0,2
https://www.aeptexas.com,1,1
https://www.aeptexas.com/,0,2
https://www.aerosociety.com,1,1
https://www.aerosociety.com/,0,2
https://www.aetv.com,1,1
https://www.aetv.com/,0,2
https://www.afca.com,1,1
https://www.afca.com/,0,2
https://www.afghanistans.com,1,1
https://www.afghanistans.com/,0,2
https://www.afi.com,1,1
https://www.afi.com/,0,2
https://www.afloral.com,1,1
https://www.afloral.com/,0,2
https://www.afreecatv.com,1,1
